"no","time_date","time_hours","sourceip","destinationip","protocol","length","info","info_cont1","info_cont2","info_cont3","info_cont4","info_cont5","info_cont6","info_cont7","__dt"
"182313","1970-01-03","06:01:46.096827","fe80::b504:f453:742b:7a21","ff02::1:ff84:cc98","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182315","1970-01-03","06:01:46.363666","fe80::5860:41c8:b74d:ba93","ff02::1:ff4d:ba93","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182314","1970-01-03","06:01:46.321106","fe80::b4ae:c3ed:7921:ab75","ff02::1:ff21:ab75","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182317","1970-01-03","06:01:46.655890","fe80::5dd3:6bb3:7720:1e83","ff02::1:ff20:1e83","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182318","1970-01-03","06:01:46.720927","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ff01:fcd7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182316","1970-01-03","06:01:46.559973","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff3e:dd3c","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182319","1970-01-03","06:01:46.864474","fe80::5860:41c8:b74d:ba93","ff02::1:ff4a:c304","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182321","1970-01-03","06:01:47.062193","fe80::695d:d39c:6fe8:612","ff02::1:ff1d:6565","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182322","1970-01-03","06:01:47.108893","fe80::f106:5909:32ae:f4cb","ff02::1:ff00:4f7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182323","1970-01-03","06:01:47.294068","fe80::4a8:b1f0:5819:1034","ff02::1:ff0b:2224","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182324","1970-01-03","06:01:47.451842","fe80::69b0:5ca7:a676:2c5a","ff02::c","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182327","1970-01-03","06:01:47.750743","fe80::91d7:c7cc:5795:f857","ff02::1:ff00:974","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
